code	product_ean	store_name	location
ID	1202217052141	Simpang	Asia/Jakarta
LT	6364977215572	Alytus	Europe/Vilnius
CN	0728982286099	Shaowu	Asia/Shanghai
AU	8201561581423	Wheelers Hill	Australia/Melbourne
RU	1303452195317	Privolzhskiy	Europe/Saratov
US	3251916724437	Ken Caryl	America/Denver
PH	8597447616366	Recodo	Asia/Manila
ET	7459132467466	Arba Minch	Africa/Addis_Ababa
IT	5830529715810	Ragusa	Europe/Rome
PL	4750816201745	Jaworzno	Europe/Warsaw
SY	2595160811163	Binnish	Asia/Damascus
US	5793797282722	Rosemount	America/Chicago
IN	3222953732167	Sambalpur	Asia/Kolkata
UA	9606948748335	Krasyliv	Europe/Kiev
US	5823353811674	Kent	America/Los_Angeles
CL	5771399625925	Chiguayante	America/Santiago
RU	2937614225728	Kireyevsk	Europe/Moscow
IN	1707721585845	Patti	Asia/Kolkata
US	9316344262983	Indio	America/Los_Angeles
ES	2766559504885	Palafrugell	Europe/Madrid
RO	3974685770893	Sector 6	Europe/Bucharest
US	8847107902545	Gainesville	America/New_York
CU	3958015377389	Boyeros	America/Havana
FR	6158312548360	Gonesse	Europe/Paris
NG	3778479632301	Ilesa	Africa/Lagos
US	3246665805216	Kendall	America/New_York
FR	5536844854189	Elbeuf	Europe/Paris
ES	4720150456507	Reus	Europe/Madrid
IN	0955429174330	Sathyamangalam	Asia/Kolkata
KZ	9580554648404	Kyzylorda	Asia/Qyzylorda
PK	9115907599548	Kot Addu	Asia/Karachi
IN	2742604426807	Tiruppuvanam	Asia/Kolkata
PA	6101515159949	Veracruz	America/Panama
TZ	0079836437588	Nyangao	Africa/Dar_es_Salaam
CN	5270026406284	Liaoyang	Asia/Shanghai
CD	9875681267186	Kamina	Africa/Lubumbashi
IN	3700540920314	Moga	Asia/Kolkata
BR	1658507208154	Itabirito	America/Sao_Paulo
US	2706038168573	Norwalk	America/New_York
FR	7566912667111	Fontenay-aux-Roses	Europe/Paris
IN	0625131398231	Chamba	Asia/Kolkata
RU	1503657969717	Nizhniy Lomov	Europe/Moscow
UA	2561728351563	Artsyz	Europe/Kiev
PE	9028313211709	Yunguyo	America/Lima
KG	5916048886139	Jalal-Abad	Asia/Bishkek
US	3863740551297	Sicklerville	America/New_York
FR	1826090315720	Le Chesnay	Europe/Paris
DZ	8805249854436	Beni Douala	Africa/Algiers
RU	9497365924033	Danilov	Europe/Moscow
DE	4380167592607	Eppingen	Europe/Berlin
DE	6470762479170	Karben	Europe/Berlin
TH	5803687864188	Nakhon Pathom	Asia/Bangkok
IN	5834338855378	Pilkhua	Asia/Kolkata
IR	4497507706195	Isfahan	Asia/Tehran
US	1875024695520	Woodlawn	America/New_York
CU	4161837629614	Jaruco	America/Havana
TH	1484177249612	Yasothon	Asia/Bangkok
DE	0391901855999	Oberhausen	Europe/Berlin
MX	7019331331533	Casa Blanca	America/Mexico_City
IN	0580725171457	Kheda	Asia/Kolkata
US	3703635779385	Searcy	America/Chicago
AF	3891731111441	Sar-e Pul	Asia/Kabul
BG	3854509379870	Smolyan	Europe/Sofia
US	0582138592256	Fitchburg	America/New_York
NZ	7945682786091	Gisborne	Pacific/Auckland
KR	0440332597906	Hongseong	Asia/Seoul
HT	1881814526431	Thomazeau	America/Port-au-Prince
RU	7705167830233	Novosilikatnyy	Asia/Barnaul
CN	9603203245417	Laiwu	Asia/Shanghai
GM	1774190698772	Farafenni	Africa/Banjul
FR	2010051655591	Cavaillon	Europe/Paris
US	6033175892778	Milledgeville	America/New_York
US	4964881390086	Woodlawn	America/New_York
IN	8341585381255	Kheda	Asia/Kolkata
MY	3237628005828	Donggongon	Asia/Kuching
ES	9652414419711	Amposta	Europe/Madrid
JP	2490832800882	Ina	Asia/Tokyo
US	0262398415921	Hutto	America/Chicago
TH	8483916612123	Bang Ban	Asia/Bangkok
EC	9298433093169	Milagro	America/Guayaquil
JP	1288877432455	Suzaka	Asia/Tokyo
IT	6195106357944	Malnate	Europe/Rome
CN	1818019962979	Taozhuang	Asia/Shanghai
US	2761316303206	Ada	America/Chicago
BO	3909686611166	Tupiza	America/La_Paz
CA	6431004246158	Sherwood Park	America/Edmonton
RS	1311418434622	Negotin	Europe/Belgrade
NG	9964275501048	Kafanchan	Africa/Lagos
US	9963708058272	Scotch Plains	America/New_York
ES	2594732498818	Jumilla	Europe/Madrid
US	4418319056148	Newburgh	America/New_York
FR	8696809524421	Mitry-Mory	Europe/Paris
US	3081449989634	Gates-North Gates	America/New_York
MX	2007477411368	Zacoalco de Torres	America/Mexico_City
US	4211159282704	Thomasville	America/New_York
US	4756185342553	Huntley	America/Chicago
DE	4719263961602	Bensheim	Europe/Berlin
US	0038472992783	Taunton	America/New_York
BE	9800269442488	Houthalen	Europe/Brussels
IT	6824413064152	Campobasso	Europe/Rome
JP	4240241338562	Yao	Asia/Tokyo
BR	0396395523737	Santa Gertrudes	America/Sao_Paulo
IT	9518803321983	Tortona	Europe/Rome
JP	0552332395489	Minokamo	Asia/Tokyo
US	9299219948802	Massapequa	America/New_York
ES	9677865408626	Leioa	Europe/Madrid
FR	9294341681573	Arles	Europe/Paris
US	0614655725197	Fitchburg	America/New_York
DE	7404037108846	Trossingen	Europe/Berlin
ID	5567818476397	Ngemplak	Asia/Jakarta
BR	2549913535240	Pedro II	America/Fortaleza
US	0198965012982	Palestine	America/Chicago
IT	7979107536572	Novara	Europe/Rome
US	0313382620545	Bothell West	America/Los_Angeles
AU	8244685703340	Baulkham Hills	Australia/Sydney
AU	0263123881363	Nowra	Australia/Sydney
MX	4584983192274	San Lorenzo Acopilco	America/Mexico_City
US	7994528216445	Rolla	America/Chicago
MX	5076012678402	San Lorenzo Acopilco	America/Mexico_City
GB	0649479453094	Selby	Europe/London
ID	0700093041651	Cibinong	Asia/Jakarta
JP	9640022569027	Motomachi	Asia/Tokyo
DE	8521606892315	Aschaffenburg	Europe/Berlin
GB	1369745560002	Selby	Europe/London
US	6496804325717	Mechanicsville	America/New_York
GB	4931109800993	Chapletown	Europe/London
US	5684904857615	Rosedale	America/New_York
US	0738531898949	Aloha	America/Los_Angeles
IN	9899564609238	Dalsingh Sarai	Asia/Kolkata
US	7526089873821	Encinitas	America/Los_Angeles
BR	9284094820763	Barra dos Coqueiros	America/Maceio
IT	1831223457284	Ventimiglia	Europe/Rome
BR	8729878754014	Itaperuna	America/Sao_Paulo
US	0957862966565	Front Royal	America/New_York
NL	5591212576353	Emmeloord	Europe/Amsterdam
US	4836521365290	Brenham	America/Chicago
PH	5783796426586	Jagna	Asia/Manila
MX	9969055470170	Tuxtla	America/Mexico_City
RU	2401928914932	Izluchinsk	Asia/Yekaterinburg
RU	5861796687890	Naro-Fominsk	Europe/Moscow
PH	0793495324729	Naga	Asia/Manila
FR	5173053837789	Le Chesnay	Europe/Paris
CL	2697989126692	San Bernardo	America/Santiago
CD	3817899429785	Beni	Africa/Lubumbashi
CN	7539488445285	Foshan	Asia/Shanghai
RU	7504877312684	Yeysk	Europe/Moscow
IN	6370958731269	Aklera	Asia/Kolkata
CA	8656864350717	Beaconsfield	America/Toronto
CN	9011895713907	Yingkou	Asia/Shanghai
UA	9846324837110	Zvenihorodka	Europe/Kiev
CN	1582101544496	Laiwu	Asia/Shanghai
DZ	5632692373756	Beni Douala	Africa/Algiers
VE	8127855952048	La Victoria	America/Caracas
CM	5011073783764	Tonga	Africa/Douala
BR	0888316551740	Soledade	America/Sao_Paulo
US	8530915259702	Porterville	America/Los_Angeles
DZ	7867704368033	Messaad	Africa/Algiers
IN	6005286872208	Pujali	Asia/Kolkata
IT	6324313815309	Tortona	Europe/Rome
NG	9961061399858	Olupona	Africa/Lagos
IN	2956121211345	Dharmapuri	Asia/Kolkata
BR	2142885636191	Altamira	America/Santarem
US	6090136198072	Front Royal	America/New_York
US	4307773864157	Fort Washington	America/New_York
AU	4708825167088	Baulkham Hills	Australia/Sydney
IN	1271292973078	Kashipur	Asia/Kolkata
UA	4907564696815	Nova Kakhovka	Europe/Kiev
US	6433379868157	Estelle	America/Chicago
RU	1309031443060	Lesozavodsk	Asia/Vladivostok
GN	6575470640338	Camayenne	Africa/Conakry
AD	7074563302348	les Escaldes	Europe/Andorra
US	5767982886705	Morningside Heights	America/New_York
CM	7189193381288	Mbalmayo	Africa/Douala
CO	2577948511304	San Carlos	America/Bogota
US	4232849051530	Gilbert	America/Phoenix
IT	9893773391793	Ragusa	Europe/Rome
IT	1759559671955	Villabate	Europe/Rome
FR	7024298938145	Dax	Europe/Paris
PH	5862396102318	Naga	Asia/Manila
BE	3600716117886	Beveren	Europe/Brussels
TH	7790576107168	Kantharalak	Asia/Bangkok
IT	6435841727023	Falconara Marittima	Europe/Rome
TR	2525798806828	Bergama	Europe/Istanbul
CN	1065688041454	Heyuan	Asia/Shanghai
IN	7028256439729	Barpeta	Asia/Kolkata
CN	2670834747761	Changshu City	Asia/Shanghai
GB	0596895779935	Westbury	Europe/London
ES	9189475926921	Caravaca	Europe/Madrid
TZ	8837368737895	Nyangao	Africa/Dar_es_Salaam
FR	7834689925117	Sceaux	Europe/Paris
SV	9276964918113	Sonzacate	America/El_Salvador
IN	3898350085542	Talipparamba	Asia/Kolkata
JP	7046010204581	Karatsu	Asia/Tokyo
DJ	3289071238131	'Ali Sabieh	Africa/Djibouti
CA	5194911113388	Markham	America/Toronto
DE	8186253592850	Hofheim am Taunus	Europe/Berlin
US	8153590682698	Massapequa	America/New_York
BR	2699287116405	Palmeira	America/Sao_Paulo
JP	1625070226311	Yao	Asia/Tokyo
BO	8383737932038	Tupiza	America/La_Paz
GB	0365292968927	Devizes	Europe/London
RU	0603580171988	Sharypovo	Asia/Krasnoyarsk
GB	7525755016982	Great Wyrley	Europe/London
PH	8853629891700	Santa Catalina	Asia/Manila
GN	1513131744785	Camayenne	Africa/Conakry
US	3827130975445	Brenham	America/Chicago
LY	3005209795426	Ajdabiya	Africa/Tripoli
CA	0115125010909	Charlottetown	America/Halifax
PK	4367580068759	Khairpur Mir’s	Asia/Karachi
RU	9573101920672	Tver	Europe/Moscow
UA	8639492608047	Voznesensk	Europe/Kiev
IN	6931850875927	Parola	Asia/Kolkata
PH	6858923597916	San Jose	Asia/Manila
TN	7767083777276	Siliana	Africa/Tunis
NG	3057454362458	Yenagoa	Africa/Lagos
PG	3455816453293	Mount Hagen	Pacific/Port_Moresby
CA	2001764790853	Pointe-Claire	America/Toronto
ES	9279176863226	Amposta	Europe/Madrid
IT	8290760078247	Campobasso	Europe/Rome
CN	9301776395903	Zhoushan	Asia/Shanghai
US	2715239937574	Lompoc	America/Los_Angeles
IN	8917545988903	Dharmapuri	Asia/Kolkata
TZ	8684793917428	Kidodi	Africa/Dar_es_Salaam
LR	6395127426357	New Yekepa	Africa/Monrovia
ES	3335507629766	Amposta	Europe/Madrid
RU	8786619958728	Petrozavodsk	Europe/Moscow
UG	9459600475984	Arua	Africa/Kampala
IT	0694506858311	Falconara Marittima	Europe/Rome
LK	5613164672447	Hendala	Asia/Colombo
DE	6668784010963	Bad Segeberg	Europe/Berlin
MX	1621074093638	Santa Rosa Jauregui	America/Mexico_City
PT	3483114602365	Paredes	Europe/Lisbon
IN	2296076256894	Periyakulam	Asia/Kolkata
CA	7092465260634	Norfolk County	America/Toronto
PK	7031537141853	Alipur	Asia/Karachi
TR	4857355873409	Silvan	Europe/Istanbul
US	7419998640595	Lakewood	America/New_York
IN	8244931252257	Dombivli	Asia/Kolkata
IT	4297486017820	Chiavari	Europe/Rome
TZ	7742111855737	Mvomero	Africa/Dar_es_Salaam
GB	9062649654021	Lymington	Europe/London
JP	3657838462325	Hita	Asia/Tokyo
PH	0678977094584	Calauan	Asia/Manila
TR	8112311368358	Gaziantep	Europe/Istanbul
TH	7418849015049	Yasothon	Asia/Bangkok
RU	6283962152060	Krymsk	Europe/Moscow
SO	6633364313291	Baki	Africa/Mogadishu
CN	1169527831449	Jingzhou	Asia/Shanghai
KR	2855660705301	T’aebaek	Asia/Seoul
SV	6208754232201	Sonzacate	America/El_Salvador
IT	1275979382726	Roseto degli Abruzzi	Europe/Rome
CD	5370778349591	Kasangulu	Africa/Kinshasa
KZ	0913664432486	Shalqar	Asia/Aqtobe
US	2877903302832	New Canaan	America/New_York
KZ	2061487976095	Kyzylorda	Asia/Qyzylorda
ME	2897648148311	Budva	Europe/Podgorica
KE	4826770391102	Busia	Africa/Nairobi
BE	3811769845224	Temse	Europe/Brussels
US	1327631772502	New Canaan	America/New_York
DE	0319685903972	Kirchlengern	Europe/Berlin
ES	5465498459542	Tudela	Europe/Madrid
FR	1130160393878	Ajaccio	Europe/Paris
CN	4187572254461	Yingkou	Asia/Shanghai
SE	9675492371092	Boo	Europe/Stockholm
GB	0206450452776	Rutherglen	Europe/London
CI	9937400691365	Bonoua	Africa/Abidjan
SL	6839387489610	Freetown	Africa/Freetown
DE	5383221806497	Halstenbek	Europe/Berlin
PK	9724820135117	Jhol	Asia/Karachi
IL	9312606749629	Rahat	Asia/Jerusalem
TH	2010991879125	Tak Bai	Asia/Bangkok
EC	9864671060678	Milagro	America/Guayaquil
IN	9174684979400	Amreli	Asia/Kolkata
US	4022969190772	Redding	America/Los_Angeles
BR	5127125324516	Carlos Barbosa	America/Sao_Paulo
TZ	3402596760707	Usagara	Africa/Dar_es_Salaam
US	1194327370300	Yonkers	America/New_York
IN	3121836241591	Narwar	Asia/Kolkata
US	5809963423742	Taunton	America/New_York
IN	9318214550459	Calangute	Asia/Kolkata
MX	2173036273002	Acayucan	America/Mexico_City
IN	5399285601022	Kheda	Asia/Kolkata
RS	0754628719881	Sremska Mitrovica	Europe/Belgrade
IR	1236866423298	Darreh Shahr	Asia/Tehran
PH	8907300734944	La Trinidad	Asia/Manila
IN	8950746914234	Diamond Harbour	Asia/Kolkata
US	4874780239273	Evergreen Park	America/Chicago
IN	8740472491679	Kenda	Asia/Kolkata
IN	1038420803740	Rajaori	Asia/Kolkata
CN	0799521901834	Nanpiao	Asia/Shanghai
ES	1447581840585	Cardedeu	Europe/Madrid
RU	6035029981140	Beryozovsky	Asia/Yekaterinburg
